isogroup66120	A0LYC2	GO:0005840; GO:0019843; GO:0003735; GO:0006412
isogroup64960	A0LYZ0	GO:0005840; GO:0019843; GO:0003735; GO:0000027; GO:0006412
isogroup71232	A0M3L3	GO:0005840; GO:0003735; GO:0006412
isogroup70178	A0M4Z2	GO:0005840; GO:0019843; GO:0003735; GO:0006412
isogroup69018	A0M572	GO:0005840; GO:0003735; GO:0006412
isogroup21483	A0M575	GO:0005840; GO:0019843; GO:0003735; GO:0006412
isogroup76332	A0M576	GO:0005840; GO:0019843; GO:0003735; GO:0000049; GO:0006412
isogroup15381	A0M579	GO:0015934; GO:0019843; GO:0003735; GO:0006412
isogroup31158	A0M588	GO:0015934; GO:0019843; GO:0003735; GO:0006412
isogroup88920	A0M591	GO:0005840; GO:0019843; GO:0003735; GO:0000049; GO:0006412
isogroup86701	A0M592	GO:0015935; GO:0003729; GO:0019843; GO:0003735; GO:0006412
isogroup72803	A0M594	GO:0015935; GO:0019843; GO:0003735; GO:0006412
isogroup103685	A0M5A0	GO:0005737; GO:0005525; GO:0003924; GO:0003746
isogroup69479	A0M7D0	GO:0005840; GO:0003735; GO:0006412
isogroup18091	A0MFS9	GO:0034707; GO:0005254
isogroup52518	A0MFS9	GO:0034707; GO:0005254
isogroup87560	A0P8X0	GO:0005576; GO:0004556; GO:0103025; GO:2001070; GO:0005983
isogroup4492	A0PJX2	noMatch
isogroup85993	A0PK84	GO:0005783; GO:0005794; GO:0016021; GO:0005886; GO:0019706; GO:0018230; GO:0072659; GO:0018345; GO:0006612
isogroup55971	A0PQ29	GO:0008168; GO:0006629
isogroup61070	A0PQ29	GO:0008168; GO:0006629
isogroup83149	A0Q6R5	GO:0051539; GO:0004160; GO:0046872; GO:0009097; GO:0009099
isogroup36463	A0QL30	GO:0016491
isogroup71686	A0QL30	GO:0016491
isogroup25802	A0QNZ7	GO:0005886; GO:0047372; GO:0006633; GO:0016042
isogroup28059	A0QP18	GO:0016021; GO:0005886; GO:0071555; GO:0006869
