comp1155_c0_seq1	isogroup1155
comp1159_c0_seq1	isogroup1159
comp1160_c0_seq1	isogroup1160
comp1164_c0_seq1	isogroup1164
comp1166_c0_seq1	isogroup1166
comp1173_c0_seq1	isogroup1173
comp1175_c0_seq1	isogroup1175
comp1176_c0_seq1	isogroup1176
comp1177_c0_seq1	isogroup1177
comp1178_c0_seq1	isogroup1178
comp1179_c0_seq1	isogroup1179
comp1180_c0_seq1	isogroup1180
comp1181_c0_seq1	isogroup1181
comp1182_c0_seq1	isogroup1182
comp1184_c0_seq1	isogroup1184
comp1188_c0_seq1	isogroup1188
comp1189_c0_seq3	isogroup1189
comp1191_c0_seq1	isogroup1191
comp1193_c0_seq1	isogroup1193
comp1194_c0_seq1	isogroup1194
comp1196_c0_seq1	isogroup1196
comp1198_c0_seq1	isogroup1198
comp1206_c0_seq2	isogroup1206
comp1211_c0_seq1	isogroup1211
comp1213_c0_seq1	isogroup1213
comp1217_c0_seq2	isogroup1217
comp1220_c0_seq1	isogroup1220
comp1227_c0_seq2	isogroup1227
comp1228_c0_seq1	isogroup1228
comp1234_c0_seq1	isogroup1234
comp1247_c0_seq1	isogroup1247
comp1261_c0_seq1	isogroup1261
comp1265_c0_seq1	isogroup1265
comp1269_c0_seq1	isogroup1269
comp1277_c0_seq1	isogroup1277
comp1281_c0_seq1	isogroup1281
comp1287_c0_seq1	isogroup1287
comp1288_c0_seq1	isogroup1288
comp1291_c0_seq1	isogroup1291
comp1294_c0_seq1	isogroup1294
comp1301_c0_seq1	isogroup1301
comp1302_c0_seq1	isogroup1302
comp1314_c0_seq1	isogroup1314
comp1323_c0_seq1	isogroup1323
comp1327_c0_seq1	isogroup1327
comp1329_c0_seq1	isogroup1329
comp1330_c0_seq1	isogroup1330
comp1333_c0_seq2	isogroup1333
comp1334_c0_seq2	isogroup1334
comp1356_c0_seq1	isogroup1356
comp1361_c0_seq1	isogroup1361
comp1365_c0_seq1	isogroup1365
comp1367_c0_seq1	isogroup1367
comp1368_c0_seq1	isogroup1368
comp1371_c0_seq1	isogroup1371
comp1380_c0_seq1	isogroup1380
comp1382_c0_seq1	isogroup1382
comp1384_c0_seq1	isogroup1384
comp1390_c0_seq1	isogroup1390
comp1399_c0_seq1	isogroup1399
comp1400_c0_seq1	isogroup1400
comp1402_c0_seq1	isogroup1402
comp1410_c0_seq1	isogroup1410
comp1414_c0_seq1	isogroup1414
comp1417_c0_seq1	isogroup1417
comp1440_c0_seq1	isogroup1440
comp1448_c0_seq1	isogroup1448
comp1455_c0_seq1	isogroup1455
comp1456_c0_seq1	isogroup1456
comp1464_c0_seq1	isogroup1464
comp1467_c0_seq1	isogroup1467
comp1474_c0_seq1	isogroup1474
comp1482_c0_seq1	isogroup1482
comp1484_c0_seq1	isogroup1484
comp1485_c0_seq2	isogroup1485
comp1488_c0_seq1	isogroup1488
comp1489_c0_seq1	isogroup1489
comp1495_c0_seq1	isogroup1495
comp1500_c0_seq1	isogroup1500
comp1503_c0_seq1	isogroup1503
comp1513_c0_seq1	isogroup1513
comp1515_c0_seq1	isogroup1515
comp1518_c0_seq1	isogroup1518
comp1524_c0_seq1	isogroup1524
comp1526_c0_seq1	isogroup1526
